smiles,id,MW,LogP,HBD,HBA,PSA,pIC50
Cc1nc(C)c(C(=O)C2=C(O)C(=O)N(CCCN3CCOCC3)C2c2cccc([N+](=O)[O-])c2)s1,CHEMBL1774324,486.55000000000024,2.9687400000000013,9.0,1.0,126.10999999999999,3.994047713112617
COc1cc(/C=N/NC(=O)/C(=C\c2ccccc2)NC(=O)c2ccccc2)cc(OC)c1O,CHEMBL1774325,445.47500000000025,3.330600000000002,6.0,3.0,109.25,4.113001954328901
O=C(CSc1ncnc2c1sc1nc(N3CCOCC3)c3c(c12)CCCC3)NCc1ccco1,CHEMBL1774326,495.63000000000045,3.956400000000003,9.0,1.0,93.38000000000001,4.0422969584511685
Cc1ccc(C(=O)N/C(=C\c2ccc(-c3cccc([N+](=O)[O-])c3)o2)C(=O)NCCCN(C)C)cc1,CHEMBL1350514,476.5330000000003,4.002020000000003,6.0,2.0,117.71999999999998,4.413750361133958
Cc1ccc(C(=O)N/C(=C\c2ccc(-c3ccccc3[N+](=O)[O-])o2)C(=O)NCCCN(C)C)cc1,CHEMBL1315054,476.53300000000036,4.002020000000003,6.0,2.0,117.71999999999998,4.38310457359924
CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)OCc1ccccc1)[C@@H](C)O)C(C)C)C(=O)N[C@H](C#N)CCC(N)=O,CHEMBL2316336,732.8359999999999,-1.4104199999999891,11.0,9.0,291.16999999999996,4.4089353929735005
CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)OCc1ccccc1)C(C)C)C(=O)N[C@H](C#N)CCC(N)=O,CHEMBL2316337,544.6530000000002,1.2468800000000035,7.0,5.0,192.51000000000002,5.337242168318426
CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@H](C#N)CCC(N)=O,CHEMBL2316338,510.63600000000037,0.8451800000000034,7.0,5.0,192.51000000000002,4.309803919971486
Cc1cc(C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)CCC(N)=O)C(C)C)no1,CHEMBL2316339,519.6030000000003,0.046900000000002606,8.0,5.0,209.31,4.309803919971486
Oc1cc(O)cc(O)c1,CHEMBL473159,126.11099999999996,0.8033999999999999,3.0,3.0,60.69,
Oc1cc(O)cc(O)c1,CHEMBL473159,126.11099999999996,0.8033999999999999,3.0,3.0,60.69,3.6989700043360187
Oc1cc(O)c(Oc2cc(O)cc(O)c2Oc2cc(O)cc(O)c2-c2c(O)cc(O)cc2O)c(O)c1,CHEMBL459393,498.3960000000002,3.9942000000000064,12.0,10.0,220.75999999999996,3.751781438809925
Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc4oc5c(Oc6cc(O)cc(O)c6)c(O)cc(O)c5c4c2O3)c1,CHEMBL510508,602.4600000000003,6.419000000000007,14.0,9.0,232.12999999999994,3.7579557606304492
Oc1cc(O)cc(Oc2c(O)cc(Oc3c(O)cc(O)cc3O)cc2O)c1,CHEMBL2391422,374.30100000000004,3.210399999999999,9.0,7.0,160.07,3.7833064008302455
Oc1cc(O)c2oc3cc(O)c4oc5cc(O)cc(O)c5oc4c3oc2c1,CHEMBL559870,370.2690000000001,4.323800000000002,9.0,5.0,153.70999999999998,3.800519085137644
Oc1cc(O)c2oc3cc(O)c4oc5cc(O)cc(O)c5oc4c3oc2c1,CHEMBL559870,370.2690000000001,4.323800000000002,9.0,5.0,153.70999999999998,3.8341623753098717
O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,CHEMBL40275,270.23999999999995,1.3654999999999993,5.0,3.0,94.83,3.87942606879415
Oc1cc(O)cc(Oc2c(Oc3c(O)cc(O)cc3O)cc(O)c3c2Oc2c(O)cc(O)cc2O3)c1,CHEMBL2391423,496.3800000000002,4.814000000000007,12.0,8.0,198.75999999999996,3.9500071430798576
Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(Oc4c(O)cc(O)cc4O)cc2O3)c1,CHEMBL456228,496.3800000000002,4.814000000000007,12.0,8.0,198.75999999999996,3.9507819773298185
O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,CHEMBL8145,254.24099999999999,2.871200000000001,4.0,2.0,70.67,3.9788107009300617
Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(Oc4c(O)cc(Oc5c(O)cc(O)c6c5Oc5c(O)cc(O)cc5O6)cc4O)cc2O3)c1,CHEMBL508791,742.5540000000003,7.621099999999999,18.0,11.0,287.14,4.166852888087215
COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,CHEMBL399121,302.28200000000004,2.518500000000001,6.0,3.0,96.22000000000001,4.221848749616356
Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(Oc4c(O)cc(O)cc4O)cc2O3)c1,CHEMBL456228,496.3800000000002,4.814000000000007,12.0,8.0,198.75999999999996,4.375717904164332
Oc1cc(O)c(Oc2cc(O)cc(O)c2Oc2cc(O)cc(O)c2-c2c(O)cc(O)cc2O)c(O)c1,CHEMBL459393,498.3960000000002,3.9942000000000064,12.0,10.0,220.75999999999996,4.647817481888637
Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc4oc5c(Oc6cc(O)cc(O)c6)c(O)cc(O)c5c4c2O3)c1,CHEMBL510508,602.4600000000003,6.419000000000007,14.0,9.0,232.12999999999994,4.777283528852417
Oc1cc(O)cc(Oc2c(Oc3c(O)cc(O)cc3O)cc(O)c3c2Oc2c(O)cc(O)cc2O3)c1,CHEMBL2391423,496.3800000000002,4.814000000000007,12.0,8.0,198.75999999999996,4.876148359032914
Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(O)cc2O3)c1,CHEMBL471187,372.2850000000001,3.610500000000002,9.0,6.0,149.07,5.055517327849832
